em_fk_eventId,em_EventDate,em_startTime,em_endTime
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
274C4160-846B-D041-8A5D-3C56F9DE7EB5,04/13/2025,10h 0m 0s 0ms,13h 0m 0s 0ms
9EAB7065-C3DB-4E96-A1F1-253F60172173,04/18/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
FD60E28F-1CB3-E24F-B906-07CA53E69EDB,04/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0EC77B69-F0F2-2C45-92CB-8DB0830F7C58,05/02/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
A988CD1B-0F2D-D34C-9D5E-3F57A33CBE73,05/18/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
1F6883CD-0D88-0645-9178-29E5D0726944,06/13/2025,8h 30m 0s 0ms,21h 0m 0s 0ms
1FF83801-CBCF-40B7-956A-4955D9493DB9,07/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
F15E4EB6-B5A9-D446-A34B-E77805EF6AE1,08/01/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0D909E7D-82C9-4129-A702-14F241F95B80,08/17/2025,13h 0m 0s 0ms,17h 0m 0s 0ms
090526E9-490F-4689-9370-F9C831250445,08/15/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
DDDB9F2B-E0A3-4845-BEF6-54DB722D907C,08/22/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0B44AB4B-CE1E-4D61-BE59-525524BE8BFE,09/21/2025,12h 0m 0s 0ms,18h 0m 0s 0ms
89E2BF6D-9724-4D25-B771-9438E33FAABA,08/27/2025,16h 0m 0s 0ms,20h 0m 0s 0ms
1F34F96B-4CA9-224E-A049-3854C31D48F1,09/05/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
8C0DCE1D-C00B-41DA-83BD-8AC6C4E5AAF8,09/20/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
40106A76-88E2-4763-8E39-B678445E4101,09/12/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
CB63A483-98A3-42DB-8DEE-38BA7F992AFB,09/24/2025,16h 0m 0s 0ms,20h 0m 0s 0ms
3D62A677-23AE-41F7-A83E-49B09E2E5C2E,10/03/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
C832B29C-14A0-4EB8-A440-CDDC84973B35,10/11/2025,12h 0m 0s 0ms,20h 0m 0s 0ms
71A71B8C-606B-4F23-8352-BA22A692385E,10/25/2025,12h 0m 0s 0ms,18h 0m 0s 0ms
7213BAD5-458A-4146-AA84-558EEC38B6C4,11/02/2025,14h 0m 0s 0ms,18h 0m 0s 0ms
AF559BA5-9750-4A8E-859E-CAB10EB7BEC0,12/20/2025,13h 0m 0s 0ms,16h 0m 0s 0ms
8C85F14F-E09C-4A36-AD8E-AC5C4B2F3158,12/13/2025,11h 0m 0s 0ms,15h 0m 0s 0ms
37EA33E6-A8CA-4438-8DD3-207182A8DDED,01/16/2026,17h 0m 0s 0ms,20h 0m 0s 0ms
37EA33E6-A8CA-4438-8DD3-207182A8DDED,02/13/2026,17h 0m 0s 0ms,20h 0m 0s 0ms
2850DF6F-629D-4B63-80D3-0609A70BF6AF,02/27/2026,17h 0m 0s 0ms,20h 0m 0s 0ms
