EventMenus::em_fk_eventId,emi_fk_squareId,emi_QtyMade,emi_QtySold_Calc,emi_Special,limited_threshold,emi_eventDate,emi_eventStartTime,emi_eventEndTime
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,T2AB23573QGM3HG2Z5UOYM5L,6,2,,3,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,SW4NO3N2MQJFVE2JBQJI5EUO,6,,,3,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,MIHBEUHZROYTRLNGKXSL7LJP,6,2,,3,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,DGYMSTT7KZWWNIRA7KF2CYHP,6,3,,3,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,A3JXABEVWUAERMKF7PNO7T4U,6,1,,3,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,UY4H3PGS6TX7OJSMCBEYYH77,6,2,,3,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
691BE159-4BB9-9B47-B09C-CE9ACFC91C74,H7YLW6U3AQE7RK55M76C3ES3,6,6,,3,04/04/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
274C4160-846B-D041-8A5D-3C56F9DE7EB5,WBZ2X4WFNJTTUJJF6MZE3355,,9,,3,04/13/2025,10h 0m 0s 0ms,13h 0m 0s 0ms
274C4160-846B-D041-8A5D-3C56F9DE7EB5,T6PJHEWGSY3MHHXF253Q3X33,,5,,3,04/13/2025,10h 0m 0s 0ms,13h 0m 0s 0ms
274C4160-846B-D041-8A5D-3C56F9DE7EB5,HMIWPK4WLYCV342DLB3WQBHJ,,1,,3,04/13/2025,10h 0m 0s 0ms,13h 0m 0s 0ms
274C4160-846B-D041-8A5D-3C56F9DE7EB5,4HLMGHXID53IMNQ4Y3V2EFIB,,2,,3,04/13/2025,10h 0m 0s 0ms,13h 0m 0s 0ms
9EAB7065-C3DB-4E96-A1F1-253F60172173,T2AB23573QGM3HG2Z5UOYM5L,,4,,3,04/18/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9EAB7065-C3DB-4E96-A1F1-253F60172173,MIHBEUHZROYTRLNGKXSL7LJP,,5,,3,04/18/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9EAB7065-C3DB-4E96-A1F1-253F60172173,A3JXABEVWUAERMKF7PNO7T4U,,3,,3,04/18/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9EAB7065-C3DB-4E96-A1F1-253F60172173,UY4H3PGS6TX7OJSMCBEYYH77,,3,,3,04/18/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
FD60E28F-1CB3-E24F-B906-07CA53E69EDB,T2AB23573QGM3HG2Z5UOYM5L,6,1,,3,04/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
FD60E28F-1CB3-E24F-B906-07CA53E69EDB,MIHBEUHZROYTRLNGKXSL7LJP,6,4,,3,04/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
FD60E28F-1CB3-E24F-B906-07CA53E69EDB,A3JXABEVWUAERMKF7PNO7T4U,6,4,,3,04/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
FD60E28F-1CB3-E24F-B906-07CA53E69EDB,UY4H3PGS6TX7OJSMCBEYYH77,6,,,3,04/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
FD60E28F-1CB3-E24F-B906-07CA53E69EDB,A25S65ZUE62KXXGYYQ46YRYO,6,4,,3,04/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0EC77B69-F0F2-2C45-92CB-8DB0830F7C58,T2AB23573QGM3HG2Z5UOYM5L,6,5,,3,05/02/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0EC77B69-F0F2-2C45-92CB-8DB0830F7C58,A3JXABEVWUAERMKF7PNO7T4U,6,4,,3,05/02/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0EC77B69-F0F2-2C45-92CB-8DB0830F7C58,MIHBEUHZROYTRLNGKXSL7LJP,6,6,,3,05/02/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0EC77B69-F0F2-2C45-92CB-8DB0830F7C58,A25S65ZUE62KXXGYYQ46YRYO,6,3,,3,05/02/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0EC77B69-F0F2-2C45-92CB-8DB0830F7C58,UY4H3PGS6TX7OJSMCBEYYH77,6,1,,3,05/02/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,T2AB23573QGM3HG2Z5UOYM5L,6,5,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,MT5TMPOFQSED6YUGAY6273SY,6,3,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,JYGQRAZUHH4KX6RJ7D25DYWQ,6,2,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,A3JXABEVWUAERMKF7PNO7T4U,6,2,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,A25S65ZUE62KXXGYYQ46YRYO,6,2,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
A988CD1B-0F2D-D34C-9D5E-3F57A33CBE73,T2AB23573QGM3HG2Z5UOYM5L,,4,,3,05/18/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
A988CD1B-0F2D-D34C-9D5E-3F57A33CBE73,MT5TMPOFQSED6YUGAY6273SY,,1,,3,05/18/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
A988CD1B-0F2D-D34C-9D5E-3F57A33CBE73,A3JXABEVWUAERMKF7PNO7T4U,,2,,3,05/18/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
A988CD1B-0F2D-D34C-9D5E-3F57A33CBE73,UY4H3PGS6TX7OJSMCBEYYH77,,3,,3,05/18/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
A988CD1B-0F2D-D34C-9D5E-3F57A33CBE73,A25S65ZUE62KXXGYYQ46YRYO,,1,,3,05/18/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
A988CD1B-0F2D-D34C-9D5E-3F57A33CBE73,JYGQRAZUHH4KX6RJ7D25DYWQ,,1,,3,05/18/2025,12h 0m 0s 0ms,16h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,T2AB23573QGM3HG2Z5UOYM5L,6,5,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,MIHBEUHZROYTRLNGKXSL7LJP,6,,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,A3JXABEVWUAERMKF7PNO7T4U,6,2,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
9184B4F7-513C-41CE-ABB5-B0B76AEA288A,JYGQRAZUHH4KX6RJ7D25DYWQ,6,2,,3,05/16/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
1F6883CD-0D88-0645-9178-29E5D0726944,T2AB23573QGM3HG2Z5UOYM5L,12,12,,3,06/13/2025,8h 30m 0s 0ms,21h 0m 0s 0ms
1F6883CD-0D88-0645-9178-29E5D0726944,MIHBEUHZROYTRLNGKXSL7LJP,12,10,,3,06/13/2025,8h 30m 0s 0ms,21h 0m 0s 0ms
1F6883CD-0D88-0645-9178-29E5D0726944,A3JXABEVWUAERMKF7PNO7T4U,12,10,,3,06/13/2025,8h 30m 0s 0ms,21h 0m 0s 0ms
1F6883CD-0D88-0645-9178-29E5D0726944,JYGQRAZUHH4KX6RJ7D25DYWQ,12,4,,3,06/13/2025,8h 30m 0s 0ms,21h 0m 0s 0ms
1FF83801-CBCF-40B7-956A-4955D9493DB9,T2AB23573QGM3HG2Z5UOYM5L,6,1,,3,07/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
1FF83801-CBCF-40B7-956A-4955D9493DB9,A3JXABEVWUAERMKF7PNO7T4U,6,2,,3,07/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
1FF83801-CBCF-40B7-956A-4955D9493DB9,MIHBEUHZROYTRLNGKXSL7LJP,6,1,,3,07/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
1FF83801-CBCF-40B7-956A-4955D9493DB9,JYGQRAZUHH4KX6RJ7D25DYWQ,6,1,,3,07/25/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
F15E4EB6-B5A9-D446-A34B-E77805EF6AE1,T2AB23573QGM3HG2Z5UOYM5L,6,5,,3,08/01/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
F15E4EB6-B5A9-D446-A34B-E77805EF6AE1,MIHBEUHZROYTRLNGKXSL7LJP,6,2,,3,08/01/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
F15E4EB6-B5A9-D446-A34B-E77805EF6AE1,A3JXABEVWUAERMKF7PNO7T4U,6,,,3,08/01/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
F15E4EB6-B5A9-D446-A34B-E77805EF6AE1,JYGQRAZUHH4KX6RJ7D25DYWQ,6,3,,3,08/01/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0D909E7D-82C9-4129-A702-14F241F95B80,T2AB23573QGM3HG2Z5UOYM5L,6,4,,3,08/17/2025,13h 0m 0s 0ms,17h 0m 0s 0ms
0D909E7D-82C9-4129-A702-14F241F95B80,MIHBEUHZROYTRLNGKXSL7LJP,6,2,,3,08/17/2025,13h 0m 0s 0ms,17h 0m 0s 0ms
0D909E7D-82C9-4129-A702-14F241F95B80,A3JXABEVWUAERMKF7PNO7T4U,6,5,,3,08/17/2025,13h 0m 0s 0ms,17h 0m 0s 0ms
0D909E7D-82C9-4129-A702-14F241F95B80,JYGQRAZUHH4KX6RJ7D25DYWQ,6,2,,3,08/17/2025,13h 0m 0s 0ms,17h 0m 0s 0ms
0D909E7D-82C9-4129-A702-14F241F95B80,DGYMSTT7KZWWNIRA7KF2CYHP,6,1,,3,08/17/2025,13h 0m 0s 0ms,17h 0m 0s 0ms
0D909E7D-82C9-4129-A702-14F241F95B80,T2AB23573QGM3HG2Z5UOYM5L,72,4,,3,08/17/2025,13h 0m 0s 0ms,17h 0m 0s 0ms
F15E4EB6-B5A9-D446-A34B-E77805EF6AE1,7DWPVIUZNVZXHXV2ZWPT3SDE,6,1,,3,08/01/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
090526E9-490F-4689-9370-F9C831250445,T2AB23573QGM3HG2Z5UOYM5L,6,4,,3,08/15/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
090526E9-490F-4689-9370-F9C831250445,MIHBEUHZROYTRLNGKXSL7LJP,6,2,,3,08/15/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
090526E9-490F-4689-9370-F9C831250445,A3JXABEVWUAERMKF7PNO7T4U,6,1,,3,08/15/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
090526E9-490F-4689-9370-F9C831250445,DGYMSTT7KZWWNIRA7KF2CYHP,6,3,,3,08/15/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
DDDB9F2B-E0A3-4845-BEF6-54DB722D907C,T2AB23573QGM3HG2Z5UOYM5L,6,5,,3,08/22/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
DDDB9F2B-E0A3-4845-BEF6-54DB722D907C,MIHBEUHZROYTRLNGKXSL7LJP,6,3,,3,08/22/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
DDDB9F2B-E0A3-4845-BEF6-54DB722D907C,OVERGJ3HXEZDKJSRVRPGEE55,6,3,,3,08/22/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
DDDB9F2B-E0A3-4845-BEF6-54DB722D907C,DGYMSTT7KZWWNIRA7KF2CYHP,6,5,,3,08/22/2025,17h 0m 0s 0ms,20h 0m 0s 0ms
0B44AB4B-CE1E-4D61-BE59-525524BE8BFE,T2AB23573QGM3HG2Z5UOYM5L,13,13,,3,09/21/2025,12h 0m 0s 0ms,18h 0m 0s 0ms
0B44AB4B-CE1E-4D61-BE59-525524BE8BFE,MIHBEUHZROYTRLNGKXSL7LJP,8,8,,3,09/21/2025,12h 0m 0s 0ms,18h 0m 0s 0ms
0B44AB4B-CE1E-4D61-BE59-525524BE8BFE,JYGQRAZUHH4KX6RJ7D25DYWQ,5,5,,3,09/21/2025,12h 0m 0s 0ms,18h 0m 0s 0ms
0B44AB4B-CE1E-4D61-BE59-525524BE8BFE,4WKGMAWR7XPGMBTK6I77XRXD,8,8,,3,09/21/2025,12h 0m 0s 0ms,18h 0m 0s 0ms
89E2BF6D-9724-4D25-B771-9438E33FAABA,T2AB23573QGM3HG2Z5UOYM5L,29,12,,3,08/27/2025,16h 0m 0s 0ms,20h 0m 0s 0ms
89E2BF6D-9724-4D25-B771-9438E33FAABA,MIHBEUHZROYTRLNGKXSL7LJP,28,10,,3,08/27/2025,16h 0m 0s 0ms,20h 0m 0s 0ms
89E2BF6D-9724-4D25-B771-9438E33FAABA,DGYMSTT7KZWWNIRA7KF2CYHP,20,3,,3,08/27/2025,16h 0m 0s 0ms,20h 0m 0s 0ms
