event_pk_uuid,eventDate,eventName,eventStartTime,eventEndTime,eventLocation,eventDescription,eventImage_url,eventStatus
0A01D150-0B21-4C8D-8A67-385249E905F3,03/30/2024,Moniker Pop Up 3/30/24,10h 30m 0s 0ms,14h 30m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
70B00146-494B-4803-9E51-546357925277,05/11/2024,Spring Cookie Fest,13h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
A6D325F8-3A9B-40BA-932F-634AE6425C01,03/16/2024,Moniker Pop Up 3/16/24,12h 30m 0s 0ms,17h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
D6590A67-F14C-5445-BAE7-1437E70E6E79,03/31/2024,Long Live Sweet Treats Pop Up 3/31/24,12h 0m 0s 0ms,16h 0m 0s 0ms,Long Live Beer Works,,,Past
A781E088-C2C2-45EB-821A-54873F7FCC6A,02/18/2024,Moniker Pop Up 2/18/24,12h 30m 0s 0ms,16h 30m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
3934A479-D66B-40C6-B797-5E890E635417,12/09/2023,Cookie Fest,12h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
E19D202A-0336-E747-9D6E-5E0024650AA3,04/28/2024,Smug Brewing Sweet Treats Pop Up 4/28/24,0w,17h 0m 0s 0ms,Smug Brewing,,,Past
09CB604C-CDA2-C349-BC17-6C1B59F407E0,05/03/2024,Moniker Sweet Treats Pop Up 5/3/24,18h 0m 0s 0ms,21h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
66FA6D09-E657-6F40-9E72-BDE266B340F1,05/04/2024,Long Live Sweet Treats Pop Up 5/4/24,12h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
B0D4CB4E-4F8E-B743-B851-272C35A8E24B,05/19/2024,Smug Sweet Treats Pop up 5/19/24,12h 0m 0s 0ms,17h 0m 0s 0ms,Smug Brewing,,,Past
4718CA13-F296-4823-87AF-F9333FFA92EF,06/02/2024,Smug Sweet Treats Pop up 6/2/24,12h 0m 0s 0ms,17h 0m 0s 0ms,Smug Brewing,,,Past
29F13EC4-5C4E-5346-A175-DDB1ED34BF17,06/14/2024,Pride Puppy Party @ Moniker,17h 30m 0s 0ms,21h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
1196C8AB-67C3-4898-BF30-D22BBDCAFC8C,07/05/2024,Moniker July First Friday!,16h 0m 0s 0ms,21h 0m 0s 0ms,Moniker Brewing,"Come celebrate First Friday with us and our friends at Moniker! They'll be food, music, and of course our sweet treats!",,Past
7992B6D6-E9CF-0943-914D-C48F5983583B,07/14/2024,GameDay Flag Football Pop up,8h 30m 0s 0ms,13h 30m 0s 0ms,GameDay Flag Football,,,Past
F9DBD307-8EB2-014A-819B-B1CCFA1BCEB0,07/21/2024,Cardi's Christmas in July,10h 0m 0s 0ms,15h 30m 0s 0ms,Cardi's Furniture West Warwick,,,Past
09DAD0F8-3D0F-CC45-8DD7-A8C6C92B86E5,08/04/2024,Sweet Treats Popup @ Long Live,13h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
8D2AC6D5-782F-46D4-AA36-3C776A4CDF23,08/02/2024,"First Friday @ Moniker - August 2, 2024",16h 0m 0s 0ms,21h 0m 0s 0ms,Moniker Brewing,"Come celebrate First Friday with us and our friends at Moniker! They'll be food, music, and of course our sweet treats!",,Past
A07B0DE6-7842-4D3A-B7D4-D068E8CC73ED,08/11/2024,Sweet Treats Popup @ Long Live,12h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
1EE75AC7-0028-FC48-93A9-CDB04CB2B5E2,09/22/2024,"Proclamation Ale Company September 22, 2024",13h 0m 0s 0ms,18h 0m 0s 0ms,Proclamation Ale Company,,,Past
A165714F-CD1E-D649-961A-99B3EA82CBB8,10/20/2024,"Proclamation Ale Company October 20, 2024",13h 0m 0s 0ms,18h 0m 0s 0ms,Proclamation Ale Company,,,Past
A1159269-CDE5-4DF5-B84F-0CE10EB4B0A6,10/04/2024,"First Friday @ Moniker – October 4, 2024",17h 0m 0s 0ms,20h 0m 0s 0ms,Moniker Brewing,"Come celebrate First Friday with us and our friends at Moniker! They'll be food, music, and of course our sweet treats!",,Past
D6581749-42AA-B348-AD26-AF13DB56CE8B,10/26/2024,Halloween celebration at Long Live 10/26/2024,12h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
FD47C9C4-2043-8649-B9EA-0EA9373342D9,11/03/2024,Smug Brewing Pop Up!,12h 0m 0s 0ms,17h 0m 0s 0ms,Smug Brewing,,,Past
5771E49C-A472-8A41-98CD-6A2AF32BFD8B,11/10/2024,"Proclamation Ale Company November 10, 2024",13h 0m 0s 0ms,18h 0m 0s 0ms,Proclamation Ale Company,,,Past
5EC6739C-3309-D541-8AC0-06CBBF088538,11/17/2024,"Moniker Sweet Treats Pop Up November 17, 2024",12h 0m 0s 0ms,17h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
2A5E9F9E-6404-4A44-AF19-46A45237CDE0,12/01/2024,"Proclamation Ale Company December 1, 2024",13h 0m 0s 0ms,18h 0m 0s 0ms,Proclamation Ale Company,,,Past
34A9C206-D912-7841-B2AC-9BE274EF7206,12/08/2024,"Smug Brewing December 8, 2024",12h 0m 0s 0ms,17h 0m 0s 0ms,Smug Brewing,,,Past
777AFF3C-5029-5B47-AFAF-9C471D303C19,12/14/2024,"Cookie Fest @ Long Live December 14, 2024",13h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
88FFCE18-9350-724B-95C9-3FC303C4568C,12/07/2024,Monny Holiday Market Saturday December 7th,11h 0m 0s 0ms,15h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
9409899F-5475-C146-B321-07838979C7A3,01/19/2025,Moniker Brewery 4th Anniversary,13h 0m 0s 0ms,17h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
E22BEE27-172C-4D82-9ACD-081C5B9C220B,02/14/2025,Moniker Brewery Doggy Date Night,17h 0m 0s 0ms,20h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
FC2F9DC1-B02C-4769-8F3C-5BD0E582488F,02/23/2025,"Proclamation Ale Company February 23, 2025",13h 0m 0s 0ms,18h 0m 0s 0ms,Proclamation Ale Company,,,Past
9FC93B5D-072B-3A4D-9EE7-CBA44CBA22CF,03/02/2025,Sweet Treats Popup @ Long Live,13h 0m 0s 0ms,17h 0m 0s 0ms,Long Live Beer Works,,,Past
B170484D-83D2-B849-BF58-41CCE03A76E5,03/16/2025,"Smug Brewing March 16, 2025",13h 0m 0s 0ms,17h 0m 0s 0ms,Smug Brewing,,,Past
7FDA6E33-49AD-1F4B-9AD7-626B0FDE77C0,03/14/2025,Moniker Brewery National Pie Day,17h 0m 0s 0ms,20h 0m 0s 0ms,Moniker Brewing,We're hanging out with Moniker on Friday night with Pizza Envy slinging pizza's! ,,Past
