Account,Category,Expense,Date,Description
Personal Checking,Website,42.34,06/17/2023,domain name
Personal Checking,Website,107.88,06/17/2023,website
Personal Checking,Licensing,6.95,06/29/2023,Food Handler Training
Personal Checking,Licensing,12,07/01/2023,DBA
Personal Checking,Kitchen,184.45,07/01/2023,Mixer Repair (existing)
Personal Checking,Licensing,50,07/10/2023,Food Safety Manager
Personal Checking,Kitchen,150,07/11/2023,Mixer attachments
Personal Checking,Website,105,07/16/2023,Logo development
Personal Checking,Licensing,65,07/17/2023,Cottage Food Manufacture license
Personal Checking,Kitchen,5.9,07/28/2023,foil pans
Personal Checking,Licensing,10,07/31/2023,State Filing
Personal Checking,Recipe Development,39.4,08/11/2023,Flour & sheet pans
Personal Checking,Kitchen,200,08/15/2023,Mixer (new)
Personal Checking,Packaging,18,08/25/2023,labels
Personal Checking,Recipe Development,3.38,09/09/2023,food coloring
Personal Checking,Recipe Development,10.99,09/15/2023,food coloring
Personal Checking,Kitchen,130,10/20/2023,Proofer
Personal Checking,Kitchen,34.19,10/21/2023,"cupccake liners, silicone mats"
Personal Checking,Kitchen,50,10/23/2023,Work Table
Personal Checking,Recipe Development,65.42,10/23/2023,Recipe Development
Personal Checking,Recipe Development,7.29,10/24/2023,Recipe Development
Personal Checking,Licensing,25,10/25/2023,Retail Sales Permit
Personal Checking,Recipe Development,26.98,10/29/2023,Recipe Development
Personal Checking,Retail,20,11/05/2023,Square POS Readers
Personal Checking,Shipping,59.16,11/06/2023,order shipment
Personal Checking,Ingredients,34.07,11/08/2023,chocolate bars
Personal Checking,Website,13.33,11/08/2023,lightbox for website photos
Personal Checking,Ingredients,23.98,11/10/2023,butter
Personal Checking,Kitchen,71.05,11/11/2023,wood oven
Personal Checking,Ingredients,5.69,11/12/2023,chocolate bars
Personal Checking,Ingredients,11.99,11/14/2023,butter
Personal Checking,Dining,26.92,11/14/2023,dinner with Ted's - dropoff location
Personal Checking,Kitchen,74.6,11/14/2023,Pans
Personal Checking,Kitchen,21.39,11/19/2023,Paper towels
Personal Checking,Ingredients,115.33,11/19/2023,Thanksgiving order prep
Personal Checking,Kitchen,8.03,11/22/2023,Thanksgiving order prep
Credit,Retail,16.45,11/24/2023,Table Cover
Credit,Kitchen,30,11/24/2023,Banner
Credit,Kitchen,100,11/24/2023,Shirts
Credit,Kitchen,40,11/24/2023,Business Cards
Credit,Kitchen,60,11/24/2023,Tablets with stands (POS)
Credit,Retail,15.99,11/24/2023,Sign holders
Credit,Kitchen,15.99,11/24/2023,parchment sheets
Credit,Kitchen,9.49,11/24/2023,sanding sugar
Credit,Kitchen,45.12,11/28/2023,sheet pans
Credit,Ingredients,189.36,11/28/2023,Cookie fest prep
Credit,Ingredients,127.76,11/29/2023,Cookie fest chocolate bars
Credit,Ingredients,26.49,12/01/2023,Cookie fest prep
Credit,Kitchen,22.26,12/02/2023,sheet pans
Credit,Ingredients,35.44,12/02/2023,Cookie fest prep
Credit,Kitchen,28.42,12/03/2023,Cookie fest prep
Credit,Kitchen,94.16,12/03/2023,Food Saver
Credit,Licensing,350,12/04/2023,Insurance
Credit,Kitchen,100,12/08/2023,Commerical Kitchen Rental
Credit,Packaging,98.93,12/06/2023,Cookie fest prep
Credit,Packaging,82.71,12/06/2023,Cookie fest prep
Credit,Retail,8.71,12/06/2023,Wax Bakery Tissue
Credit,Retail,43.77,12/07/2023,Take-away bags
Credit,Dining,61.18,12/08/2023,Cookie fest - fed volunteers
Credit,Dining,77,12/08/2023,Cookie fest - fed volunteers
Credit,Retail,13.52,12/09/2023,disposible gloves
Credit,Ingredients,5.98,12/13/2023,Order ingredients - #359
Credit,Licensing,105.93,01/22/2024,Food Mananger Training
Credit,Retail,20,02/02/2024,BJ's Membership
Credit,Ingredients,46.84,02/03/2024,Chocolate bars
Credit,Ingredients,51.1,02/03/2024,Chocolate bars
Credit,Ingredients,27.12,02/04/2024,Butter
Checking,Kitchen,20.98,02/10/2024,"Eggs, Flour"
Checking,Ingredients,8.97,02/11/2024,raisins
Credit,Kitchen,76.73,02/15/2024,"Eggs, Flour, butter, sugar"
Credit,Kitchen,52.54,02/17/2024,Kitchen supplies
Credit,Ingredients,41.44,02/17/2024,"Sugar, oats, butter"
Checking,Ingredients,7.44,02/28/2024,"raisins, chocolate"
Checking,Ingredients,14.98,02/28/2024,"sugar, oats"
Checking,Kitchen,34.43,03/03/2024,"Piping bags, stencils, sprinkles"
Checking,Ingredients,8.53,03/03/2024,"sprinkles, baking cups, decorating sugar"
Credit,Kitchen,148.97,03/09/2024,Butter
Credit,Kitchen,54.31,03/09/2024,cupcake pans
Checking,Licensing,50,03/14/2024,Food Mananger Certification (State)
Checking,Kitchen,5.32,03/15/2024,pastry brushes
Credit,Ingredients,15.25,03/15/2024,"corn starch, buttermilk, milk, eggs"
Checking,Retail,53.49,03/18/2024,Square Reader
Checking,Retail,67.76,03/18/2024,"Sprinkles, Packaging, food storage"
Credit,Kitchen,10.84,03/17/2024,"Piping tips, turntable cake stand"
Business Checking,Ingredients,13.04,03/27/2024,"Anise seed, almond extra, lemons"
Credit,Ingredients,12.41,03/27/2024,"Macadamia nuts, rainbow sprinkles"
Credit,Ingredients,5.99,03/27/2024,Almonds
Credit,Kitchen,16.05,03/29/2024,cupcake storage boxes
Business Checking,Ingredients,11.79,04/01/2024,Cupcake order items
Credit,Kitchen,28.98,02/27/2024,Gloves
Credit,Kitchen,28.98,02/28/2024,More gloves
Credit,Retail,16.04,03/30/2024,double sided displays
Credit,Ingredients,18.24,03/29/2024,sprinkles
Credit,Retail,18.17,03/29/2024,cupcake boxes
Credit,Kitchen,24.06,03/23/2024,Cupcake pans
Credit,Ingredients,31.94,03/24/2024,chocolate bars
Credit,Ingredients,8.99,03/29/2024,Sugar
Credit,Ingredients,4.34,03/29/2024,Vegtable Oil
Credit,Ingredients,60.76,03/29/2024,"butter, sour cream, semi-sweet chips, cocoa, paper towels"
Credit,Ingredients,58.6,03/26/2024,"milk, blueberries, sugar, eggs, coconut oil, cooking spray"
Business Checking,Ingredients,25.17,04/19/2024,Sugar
Business Checking,Ingredients,34.41,04/14/2024,AP flour & semi sweets
Business Checking,Ingredients,55.36,04/14/2024,Chocolate bars
Business Checking,Retail,29.6,04/06/2024,Banner hardware
Business Checking,Ingredients,11.49,04/22/2024,Almonds
Business Checking,Ingredients,6.14,04/22/2024,Peanut butter chips
Business Checking,Ingredients,17.94,04/24/2024,Raisins
Business Checking,Ingredients,16,04/24/2024,Coffee
Business Checking,Retail,51.37,04/24/2024,"Labels, cookie packages"
Business Checking,Ingredients,10.35,04/24/2024,Blue sprinkles
Business Checking,Ingredients,17.03,04/25/2024,Chocolate bars
Business Checking,Ingredients,15.98,04/25/2024,Cocoa Powder
Business Checking,Ingredients,14.12,04/25/2024,Rolled Oats 10 lbs
